item,task,modello,condizione,origine,contesto,istruzione,inizio_turno,testo
V100,T3,Minerva7B,sistema,KPN001_T3_970,"B: aggio sbrudulato tutte cose, guarda che casino ca aggio fatto
A: ah, aggio capito, ma i' magari m'aggi'a pulizzà
B: grazie cara
A: è na fronna 'e lauro d' 'a curona soja
A: mo sapésse 'e cibbo indiano, no, nun è overo
B: mh","Adesso parla A. Che dice, in napoletano? (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente)",,"no, è indiano"
V034,T3,Riferimento umano,umano,KPN003_T3_1273,"A: è overo
C: Sì, è overo, mh
C: è ca nun tenimmo tante ffoto 'e ale nove
C: e chille stickers nun saccio si veneno
A: ll'ha fatte essa cu 'e ffoto soje
A: 'o sape, 'e manna essa","Riprendi il discorso di A: parla C, in napoletano.",,"eh, però nun saccio si veneno gruosse, cioè"
V150,T3,Gemma4B,sistema,KPN003_T3_1275,"C: è ca nun tenimmo tante ffoto 'e ale nove
C: e chille stickers nun saccio si veneno
A: ll'ha fatte essa cu 'e ffoto soje
A: 'o sape, 'e manna essa
C: eh, però nun saccio si veneno gruosse, cioè
C: nun 'e putimmo stampà","Riprendi il discorso di C: parla B, in napoletano.",,"'e putimmo stampà, sì, però 'e stickers nun sanno, cioè 'e putimmo stampà, sì, però 'e"
V068,T3,Llama7B,sistema,KPN003_T3_1275,"C: è ca nun tenimmo tante ffoto 'e ale nove
C: e chille stickers nun saccio si veneno
A: ll'ha fatte essa cu 'e ffoto soje
A: 'o sape, 'e manna essa
C: eh, però nun saccio si veneno gruosse, cioè
C: nun 'e putimmo stampà","Riprendi il discorso di C: parla B, in napoletano.",,"'e putimmo stampà, ma nun 'e putimmo stampà gruosse, cioè"
V083,T3,Minerva7B,sistema,KPN003_T3_1275,"C: è ca nun tenimmo tante ffoto 'e ale nove
C: e chille stickers nun saccio si veneno
A: ll'ha fatte essa cu 'e ffoto soje
A: 'o sape, 'e manna essa
C: eh, però nun saccio si veneno gruosse, cioè
C: nun 'e putimmo stampà","Riprendi il discorso di C: parla B, in napoletano.",,"no, 'e gruosse no, però eventualmente"
V097,T3,Riferimento umano,umano,KPN003_T3_1285,"B: ce facimmo nuje n'album d' 'e figurine addò 'e figurine so' stickers c' 'a faccia soja
C: È overo, è overo
A: e comme faje?
B: nun 'o saccio, cioè facimmo nu poco
C: po' ll'adda attaccà tutte
A: facimmo adesive, facimmo stampà adesive","Turno di C. Rispondi in napoletano, breve e pertinente.",,"embè, putimmo pure piglià"
V045,T3,Riferimento umano,umano,KPN003_T3_1295,"C: e ce facimmo 'e spazie cu 'e nummere
A: sì
A: sì
C: e po' stampammo 'ncopp'a carta fotograf~ f~ emh carta adesiva
A: adesiva",Scrivi la replica di C in napoletano: dev'essere una risposta a A.,,e 'e ffoto
V008,T3,Riferimento umano,umano,KPN003_T3_1296,"C: e ce facimmo 'e spazie cu 'e nummere
A: sì
A: sì
C: e po' stampammo 'ncopp'a carta fotograf~ f~ emh carta adesiva
A: adesiva
C: e 'e ffoto",Sei A. Rispondi in napoletano a quello che ha appena detto C.,,tanto 'o f~ ce ll'hanno
V025,T3,Gemma4B,sistema,KPN003_T3_1305,"A: basta selez~
A: sì sì, basta selezionà 'e ffoto
A: ca tiene ll'album",Continua la conversazione: scrivi il turno di C in napoletano.,,"ma 'o album è 'e ffoto, cioè 'e foto, cioè 'e foto, cioè 'e foto, cioè 'e foto, cioè '"
V081,T3,Llama7B,sistema,KPN003_T3_1305,"A: basta selez~
A: sì sì, basta selezionà 'e ffoto
A: ca tiene ll'album",Continua la conversazione: scrivi il turno di C in napoletano.,,ca 'o album è 'e più 'e 'e 'e
V085,T3,Minerva7B,sistema,KPN003_T3_1305,"A: basta selez~
A: sì sì, basta selezionà 'e ffoto
A: ca tiene ll'album",Continua la conversazione: scrivi il turno di C in napoletano.,,quinni basta se selezionà 'e ffoto
V033,T3,Gemma4B,sistema,KPN003_T3_1324,"B: simmo juti c' 'a chiavetta 'n copisteria
A: sì
A: e e iss~ e chillo llà ha visto tutte 'e toje",Sei C. Rispondi in napoletano a quello che ha appena detto A.,,e 'e toje tutte 'e toje
V140,T3,Llama7B,sistema,KPN003_T3_1324,"B: simmo juti c' 'a chiavetta 'n copisteria
A: sì
A: e e iss~ e chillo llà ha visto tutte 'e toje",Sei C. Rispondi in napoletano a quello che ha appena detto A.,,"sì, sì, llà ha visto tutte 'e toje, e 'o chillo llà ha visto 'e toje"
V113,T3,Minerva7B,sistema,KPN003_T3_1324,"B: simmo juti c' 'a chiavetta 'n copisteria
A: sì
A: e e iss~ e chillo llà ha visto tutte 'e toje",Sei C. Rispondi in napoletano a quello che ha appena detto A.,,"ah, te fa ""mah, ma tanto nun ll'avimmo c~ c~ cchiammà pe' sfenecere"""
V128,T3,Gemma4B,sistema,KPN003_T3_1329,"A: e e iss~ e chillo llà ha visto tutte 'e toje
C: no no no, era, era 'n bolognina
A: piazza 'e ll'unità
B: ah, era arte copia
C: arte copia
B: oddio, me canosce pure bbuono, vaco sempe llà",Sei A. Rispondi in napoletano a quello che ha appena detto B.,,"ma 'o llà era 'n posto, llà era arte copia"
V050,T3,Llama7B,sistema,KPN003_T3_1329,"A: e e iss~ e chillo llà ha visto tutte 'e toje
C: no no no, era, era 'n bolognina
A: piazza 'e ll'unità
B: ah, era arte copia
C: arte copia
B: oddio, me canosce pure bbuono, vaco sempe llà",Sei A. Rispondi in napoletano a quello che ha appena detto B.,,"no, era, era 'n bolognina, ll'unità, ll'unità, ll'unità"
V038,T3,Minerva7B,sistema,KPN003_T3_1329,"A: e e iss~ e chillo llà ha visto tutte 'e toje
C: no no no, era, era 'n bolognina
A: piazza 'e ll'unità
B: ah, era arte copia
C: arte copia
B: oddio, me canosce pure bbuono, vaco sempe llà",Sei A. Rispondi in napoletano a quello che ha appena detto B.,,"ma sì sì, pure llà"
V007,T3,Gemma4B,sistema,KPN003_T3_1346,"C: ha ditto ""sì sì, si vulite ve 'e faccio 'n hd""
C: però ll'aggi'a sistemà tutte
C: quinni ce vularrà nu poco
B: e vuje ce avite ditto ""ma scusate, avite visto 'e ffoto""
A: sì, avimmo ditto ""ma no""
B: ah, ok ok","Adesso parla C. Che dice, in napoletano? (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente)",,'e foto nun 'e avevamo visto
V029,T3,Llama7B,sistema,KPN003_T3_1346,"C: ha ditto ""sì sì, si vulite ve 'e faccio 'n hd""
C: però ll'aggi'a sistemà tutte
C: quinni ce vularrà nu poco
B: e vuje ce avite ditto ""ma scusate, avite visto 'e ffoto""
A: sì, avimmo ditto ""ma no""
B: ah, ok ok","Adesso parla C. Che dice, in napoletano? (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente)",,"sì, sì, si vulite ve 'e faccio 'n hd, ma ll'aggi'a sistemà tutte, quin"
V036,T3,Minerva7B,sistema,KPN003_T3_1346,"C: ha ditto ""sì sì, si vulite ve 'e faccio 'n hd""
C: però ll'aggi'a sistemà tutte
C: quinni ce vularrà nu poco
B: e vuje ce avite ditto ""ma scusate, avite visto 'e ffoto""
A: sì, avimmo ditto ""ma no""
B: ah, ok ok","Adesso parla C. Che dice, in napoletano? (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente)",,"e avimmo ditto ""ma scusate, avite visto 'e ffoto"""
V046,T3,Gemma4B,sistema,KPN003_T3_1350,"A: sì, avimmo ditto ""ma no""
B: ah, ok ok
C: penzava ca fóssero ffoto
A: sì
C: po' ll'avarrà viste e avarrà ditto ""ok""
A: Sì sì sì, no","Adesso parla B. Che dice, in napoletano? (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente)",,"no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no,"
V146,T3,Llama7B,sistema,KPN003_T3_1350,"A: sì, avimmo ditto ""ma no""
B: ah, ok ok
C: penzava ca fóssero ffoto
A: sì
C: po' ll'avarrà viste e avarrà ditto ""ok""
A: Sì sì sì, no","Adesso parla B. Che dice, in napoletano? (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente)",,"sì, ll'avarrà viste e avarrà ditto ""ok"""
V001,T3,Minerva7B,sistema,KPN003_T3_1350,"A: sì, avimmo ditto ""ma no""
B: ah, ok ok
C: penzava ca fóssero ffoto
A: sì
C: po' ll'avarrà viste e avarrà ditto ""ok""
A: Sì sì sì, no","Adesso parla B. Che dice, in napoletano? (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente)",,"e avarà ditto ""ok"""
V088,T3,Riferimento umano,umano,KPN003_T3_1355,"A: Sì sì sì, no
B: ma comunque cioè ce sta pure 'o penzà a nu jucariello p' 'a ale
C: sì
B: cioè magari pure si tipo okay ce steva 'o bookay fotografico cu 'e stickers
B: ma magari
B: ce mettere quaccosa int' 'o gioco","Tocca a C. Rispondi in napoletano, restando sul tema.",,"eh, comunque nu gioco ca 'a fa vevere"
V094,T3,Gemma4B,sistema,KPN003_T3_1371,"A: sì, esatto
C: cu 'e cartellin' 'a aprì
B: sì
C: e po' ce steva 'e cchiù sta rota ca girava cu 'e tre giuoche, esatto
A: ca era na cosa, sì
C: ca po' llà 'e giuoche erano","Adesso parla A. Che dice, in napoletano?",,"ca erano 'e giuoche 'e 'e tre giuoche, llà 'e tre giuoche"
V061,T3,Llama7B,sistema,KPN003_T3_1371,"A: sì, esatto
C: cu 'e cartellin' 'a aprì
B: sì
C: e po' ce steva 'e cchiù sta rota ca girava cu 'e tre giuoche, esatto
A: ca era na cosa, sì
C: ca po' llà 'e giuoche erano","Adesso parla A. Che dice, in napoletano?",,"ca llà 'e giuoche eranno, sì"
V109,T3,Minerva7B,sistema,KPN003_T3_1371,"A: sì, esatto
C: cu 'e cartellin' 'a aprì
B: sì
C: e po' ce steva 'e cchiù sta rota ca girava cu 'e tre giuoche, esatto
A: ca era na cosa, sì
C: ca po' llà 'e giuoche erano","Adesso parla A. Che dice, in napoletano?",,llà 'e giuoche
V142,T3,Riferimento umano,umano,KPN003_T3_1381,"A: ehm obbligo o verità, forse
C: obbligo o veri~ tà
A: ce steva, ce steva pure obbligo o verità
B: ma scusa, 'o memory
C: 'o memory ll'aveva fatto 'a
B: no, hê ditto 'o memory",Continua la conversazione: scrivi il turno di C in napoletano.,,"'o, chello 'e ll'yoga"
V148,T3,Riferimento umano,umano,KPN003_T3_1391,"C: e 'o twister, è overo
A: 'o twister, allora erano quatto, forse
C: chello ca ha fatto cu 'a sara
A: obbligo o verità ce steva
C: secondo me obbligo o verità steva int' 'e casellelle
C: 'a comme me ricordo","Riprendi il discorso di C: parla B, in napoletano.",,pecché i' me so' perza tutto
V056,T3,Gemma4B,sistema,KPN003_T3_1392,"A: 'o twister, allora erano quatto, forse
C: chello ca ha fatto cu 'a sara
A: obbligo o verità ce steva
C: secondo me obbligo o verità steva int' 'e casellelle
C: 'a comme me ricordo
B: pecché i' me so' perza tutto",Sei C. Rispondi in napoletano a quello che ha appena detto B. (l'ultimo turno e' una domanda: rispondi alla domanda),,"'a verità era 'a casellelle, sì, ma 'o twister era 'a verità, cioè 'a verità era 'a casellelle"
V028,T3,Llama7B,sistema,KPN003_T3_1392,"A: 'o twister, allora erano quatto, forse
C: chello ca ha fatto cu 'a sara
A: obbligo o verità ce steva
C: secondo me obbligo o verità steva int' 'e casellelle
C: 'a comme me ricordo
B: pecché i' me so' perza tutto",Sei C. Rispondi in napoletano a quello che ha appena detto B. (l'ultimo turno e' una domanda: rispondi alla domanda),,"'a come me ricordo, pecché i' me so' perza todo"
V073,T3,Minerva7B,sistema,KPN003_T3_1392,"A: 'o twister, allora erano quatto, forse
C: chello ca ha fatto cu 'a sara
A: obbligo o verità ce steva
C: secondo me obbligo o verità steva int' 'e casellelle
C: 'a comme me ricordo
B: pecché i' me so' perza tutto",Sei C. Rispondi in napoletano a quello che ha appena detto B. (l'ultimo turno e' una domanda: rispondi alla domanda),,'a comme me ricordo
V089,T3,Gemma4B,sistema,KPN003_T3_1411,"A: 'e balle suoje
A: cioè sorteggià nu ballo
A: che ne saccio, essa ll'adda fà però quanno è già bresca
C: sì sì, 'o fà fà pure a tutte ll'invitate
A: sì, 'nzegn~ 'nzegnà, nun saccio
A: 'e passe 'e","Come risponderebbe D, in napoletano?",,'e passe 'e
V012,T3,Llama7B,sistema,KPN003_T3_1411,"A: 'e balle suoje
A: cioè sorteggià nu ballo
A: che ne saccio, essa ll'adda fà però quanno è già bresca
C: sì sì, 'o fà fà pure a tutte ll'invitate
A: sì, 'nzegn~ 'nzegnà, nun saccio
A: 'e passe 'e","Come risponderebbe D, in napoletano?",,"sì, sì, 'e fà fà pure a ll'invitate, ma 'e fà pure a ll'amma 'nz"
V126,T3,Minerva7B,sistema,KPN003_T3_1411,"A: 'e balle suoje
A: cioè sorteggià nu ballo
A: che ne saccio, essa ll'adda fà però quanno è già bresca
C: sì sì, 'o fà fà pure a tutte ll'invitate
A: sì, 'nzegn~ 'nzegnà, nun saccio
A: 'e passe 'e","Come risponderebbe D, in napoletano?",,'e passe 'e balle
V015,T3,Gemma4B,sistema,KPN003_T3_1414,"C: sì sì, 'o fà fà pure a tutte ll'invitate
A: sì, 'nzegn~ 'nzegnà, nun saccio
A: 'e passe 'e
D: signurine, vulite quacc'ata cosa
A: grazie
D: nu ducetiello",Continua la conversazione: scrivi il turno di C in napoletano.,,"'e cose 'e casa, 'e cose 'e casa, 'e cose 'e casa, 'e cose 'e casa, 'e cose '"
V080,T3,Llama7B,sistema,KPN003_T3_1414,"C: sì sì, 'o fà fà pure a tutte ll'invitate
A: sì, 'nzegn~ 'nzegnà, nun saccio
A: 'e passe 'e
D: signurine, vulite quacc'ata cosa
A: grazie
D: nu ducetiello",Continua la conversazione: scrivi il turno di C in napoletano.,,"sì, 'e 'nzognò, nun saccio"
V063,T3,Minerva7B,sistema,KPN003_T3_1414,"C: sì sì, 'o fà fà pure a tutte ll'invitate
A: sì, 'nzegn~ 'nzegnà, nun saccio
A: 'e passe 'e
D: signurine, vulite quacc'ata cosa
A: grazie
D: nu ducetiello",Continua la conversazione: scrivi il turno di C in napoletano.,,"no, grazie"
V049,T3,Gemma4B,sistema,KPN003_T3_1418,"A: grazie
D: nu ducetiello
C: no no, grazie, stammo a posto
A: no, a posto accussì
D: stammo a posto accussì
A: grazie assaje",Continua la conversazione: scrivi il turno di D in napoletano.,,"ma sì, grazie assaje, grazie assaje, grazie assaje, grazie assaje, grazie assaje, grazie assaje, grazie assaje, grazie"
V101,T3,Llama7B,sistema,KPN003_T3_1418,"A: grazie
D: nu ducetiello
C: no no, grazie, stammo a posto
A: no, a posto accussì
D: stammo a posto accussì
A: grazie assaje",Continua la conversazione: scrivi il turno di D in napoletano.,,"no, a posto accussì, ma 'nfatti, grazie assaje"
V135,T3,Minerva7B,sistema,KPN003_T3_1418,"A: grazie
D: nu ducetiello
C: no no, grazie, stammo a posto
A: no, a posto accussì
D: stammo a posto accussì
A: grazie assaje",Continua la conversazione: scrivi il turno di D in napoletano.,,"grazie, grazie"
V040,T3,Gemma4B,sistema,KPN003_T3_1420,"C: no no, grazie, stammo a posto
A: no, a posto accussì
D: stammo a posto accussì
A: grazie assaje
D: bbuono, grazie assaje a vuje
C: grazie",Continua la conversazione: scrivi il turno di A in napoletano.,,"ma, ma, ma, ma, ma, ma, ma, ma, ma, ma, ma, ma, ma, ma, ma, ma,"
V062,T3,Llama7B,sistema,KPN003_T3_1420,"C: no no, grazie, stammo a posto
A: no, a posto accussì
D: stammo a posto accussì
A: grazie assaje
D: bbuono, grazie assaje a vuje
C: grazie",Continua la conversazione: scrivi il turno di A in napoletano.,,"no, a posto accussì, ma 'nvece, grazie assaje"
V014,T3,Minerva7B,sistema,KPN003_T3_1420,"C: no no, grazie, stammo a posto
A: no, a posto accussì
D: stammo a posto accussì
A: grazie assaje
D: bbuono, grazie assaje a vuje
C: grazie",Continua la conversazione: scrivi il turno di A in napoletano.,,grazie assaje a ll'attacco
V138,T3,Gemma4B,sistema,KPN003_T3_1424,"D: bbuono, grazie assaje a vuje
C: grazie
A: ce sta pure c' 'e balle fà quaccosa
A: ca dopo c' 'o vestito suojo se carreca
A: eh
C: n'ata birra","Turno di A. Rispondi in napoletano, breve e pertinente.",,"ma 'o vestito suojo se carreca, eh, 'a birra 'a fa 'a differenza"
V144,T3,Llama7B,sistema,KPN003_T3_1424,"D: bbuono, grazie assaje a vuje
C: grazie
A: ce sta pure c' 'e balle fà quaccosa
A: ca dopo c' 'o vestito suojo se carreca
A: eh
C: n'ata birra","Turno di A. Rispondi in napoletano, breve e pertinente.",,"ca 'o vestito suojo se carreca, ma 'o c' 'e balle fà quaccosa"
V055,T3,Minerva7B,sistema,KPN003_T3_1424,"D: bbuono, grazie assaje a vuje
C: grazie
A: ce sta pure c' 'e balle fà quaccosa
A: ca dopo c' 'o vestito suojo se carreca
A: eh
C: n'ata birra","Turno di A. Rispondi in napoletano, breve e pertinente.",,"no, grazie"
V136,T3,Gemma4B,sistema,KPN003_T3_1435,"A: sì, no, 'o saccio, però
C: vabbuò, 'ntanto scrivimmo
A: ah, llà puó stoppà in realtà
B: a luca
B: addò sta
C: mh",Scrivi la replica di B in napoletano: dev'essere una risposta a C. (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente),,"'a luca, sì, addò sta"
V011,T3,Llama7B,sistema,KPN003_T3_1435,"A: sì, no, 'o saccio, però
C: vabbuò, 'ntanto scrivimmo
A: ah, llà puó stoppà in realtà
B: a luca
B: addò sta
C: mh",Scrivi la replica di B in napoletano: dev'essere una risposta a C. (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente),,"llà puó stoppà in realtà, ma 'o saccio, 'o saccio, 'o saccio"
V108,T3,Minerva7B,sistema,KPN003_T3_1435,"A: sì, no, 'o saccio, però
C: vabbuò, 'ntanto scrivimmo
A: ah, llà puó stoppà in realtà
B: a luca
B: addò sta
C: mh",Scrivi la replica di B in napoletano: dev'essere una risposta a C. (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente),,addò sta luca
V066,T3,Gemma4B,sistema,KPN003_T3_1438,"B: a luca
B: addò sta
C: mh
B: giusto pe' sapé addò sta
C: tanto songo già 'e
C: unnice, embè, songo ll'unnice","Come risponderebbe A, in napoletano?",,"'e ll'unnice, sì, 'e ll'unnice"
V031,T3,Llama7B,sistema,KPN003_T3_1438,"B: a luca
B: addò sta
C: mh
B: giusto pe' sapé addò sta
C: tanto songo già 'e
C: unnice, embè, songo ll'unnice","Come risponderebbe A, in napoletano?",,"ll'unnice, embè, songo ll'unnice"
V019,T3,Minerva7B,sistema,KPN003_T3_1438,"B: a luca
B: addò sta
C: mh
B: giusto pe' sapé addò sta
C: tanto songo già 'e
C: unnice, embè, songo ll'unnice","Come risponderebbe A, in napoletano?",,"ah, ll'unnice"
V020,T3,Riferimento umano,umano,KPN003_T3_1451,"C: dirà ""basta, so' arraggiato""
A: no
C: ghostiammo
D: vulite quacc'ata cosa",Sei A. Rispondi in napoletano a quello che ha appena detto D.,,"no no, grazie"
V048,T3,Riferimento umano,umano,KPN003_T3_1452,"C: dirà ""basta, so' arraggiato""
A: no
C: ghostiammo
D: vulite quacc'ata cosa
A: no no, grazie","Come risponderebbe B, in napoletano?",,a posto accussì
V023,T3,Riferimento umano,umano,KPN003_T3_1459,"B: nun ce 'a pigliammo n'ata birra
C: ah, okay, eh
B: secondo me ce cunvene
A: ah, ok
C: sì sì
A: no, i' no","Turno di B. Rispondi in napoletano, breve e pertinente.",,"okay, i' te piglio n'ata birra"
V044,T3,Gemma4B,sistema,KPN003_T3_1464,"A: no, i' no
B: okay, i' te piglio n'ata birra
B: però nun saparrìa quale piglià
D: si jate 'e xxx
D: vuó quaccosa sempe 'ncopp' 'o acido
D: o","Come risponderebbe B, in napoletano?",,'a 'e xxx 'e 'o limoncello
V096,T3,Llama7B,sistema,KPN003_T3_1464,"A: no, i' no
B: okay, i' te piglio n'ata birra
B: però nun saparrìa quale piglià
D: si jate 'e xxx
D: vuó quaccosa sempe 'ncopp' 'o acido
D: o","Come risponderebbe B, in napoletano?",,"no, 'o acido nun è 'ncopp'"
V123,T3,Minerva7B,sistema,KPN003_T3_1464,"A: no, i' no
B: okay, i' te piglio n'ata birra
B: però nun saparrìa quale piglià
D: si jate 'e xxx
D: vuó quaccosa sempe 'ncopp' 'o acido
D: o","Come risponderebbe B, in napoletano?",,"no, nun truove, nun truove, nun truove, eh"
