item,task,modello,contesto,istruzione,inizio_turno,testo_valutato,naturalezza,grammatica,lessico,note
V139,T2,Llama7B,"A: a ll'universi~
C: na vota ca avev'a jì a lezione
C: ll'aggio ditto ""vabbuò, vedimmoce primma ca vaco a lezione""","Completa il turno gia' iniziato, in napoletano.",e avimmo bevuto,nu bicchiere,4,5,4,
V147,T3,Llama7B,"B: pecché comme se dice
A: no no, ce stongo, ce stongo
B: nun 'e nzuppe int' 'a sarzella
B: però 'e magne
A: e comme no
B: credo",Sei A. Rispondi in napoletano a quello che ha appena detto B.,,"no, 'e magne, nun 'e nzuppe int' 'a sarzella",4,4,4,
V007,T3,Gemma4B,"C: ha ditto ""sì sì, si vulite ve 'e faccio 'n hd""
C: però ll'aggi'a sistemà tutte
C: quinni ce vularrà nu poco
B: e vuje ce avite ditto ""ma scusate, avite visto 'e ffoto""
A: sì, avimmo ditto ""ma no""
B: ah, ok ok","Adesso parla C. Che dice, in napoletano? (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente)",,'e foto nun 'e avevamo visto,4,4,4,
V128,T3,Gemma4B,"A: e e iss~ e chillo llà ha visto tutte 'e toje
C: no no no, era, era 'n bolognina
A: piazza 'e ll'unità
B: ah, era arte copia
C: arte copia
B: oddio, me canosce pure bbuono, vaco sempe llà",Sei A. Rispondi in napoletano a quello che ha appena detto B.,,"ma 'o llà era 'n posto, llà era arte copia",3,3,4,Forma dialettale comprensibile ma con resa poco naturale o lessico poco adatto al contesto.
V104,T2,Riferimento umano,"A: 'a sarza 'e soia, ca tu in genere comunque pure 'o wasabi si t' 'o vuò nu poco stemperà, diciamo
A: t' 'o miette 'ncopp' 'o roll, 'ncopp'a chello ca te pare, e po' comunque 'o vagne llà, cioè ner senso
B: o sì","Completa il turno gia' iniziato, in napoletano.","o 'o riesce, te piace accussì e sti cazze, o comunque però si t' 'o vuò","nu poco stemperà 'o, 'o vagno llà, quinni nun ce steva manco 'a sarzella ca dice",5,4,4,
V063,T3,Minerva7B,"C: sì sì, 'o fà fà pure a tutte ll'invitate
A: sì, 'nzegn~ 'nzegnà, nun saccio
A: 'e passe 'e
D: signurine, vulite quacc'ata cosa
A: grazie
D: nu ducetiello",Continua la conversazione: scrivi il turno di C in napoletano.,,"no, grazie",5,5,5,
V031,T3,Llama7B,"B: a luca
B: addò sta
C: mh
B: giusto pe' sapé addò sta
C: tanto songo già 'e
C: unnice, embè, songo ll'unnice","Come risponderebbe A, in napoletano?",,"ll'unnice, embè, songo ll'unnice",4,4,4,
V043,T2,Llama7B,"A: nun simmo trasute
C: però cioè nun penzo ca s' 'a sia fatta sulo pe' sta serata, cioè
C: ca po' isso fa 'e cose, ah, tutte v~ sto arradunanno gente","Completa il turno gia' iniziato, in napoletano.",in realtà ll'ha ditto,"""okay, vabbuò""",4,4,4,
V095,T2,Riferimento umano,"A: pecché èreno 'e primm'anne ca appunto s'accummenciava n'attimo a diffónnere 'e cchiù chesta, cioè 'a moda, no, d' 'o sushi
A: quinni ce porta pàteme e dice ""va bbuono, okay"", doppo mh, c'èramo mangiate 'e pizze accussì, e fa ""va bbuono, okay"", cioè era p~, era passato 'o cammariere e fa ""ah, guardate, nuje stasera facimmo pure sta cosa, vulite n'assaggio"", e pàteme fa ""sì sì, okay""
A: ""puortace magari nu piatto misto d' 'a spartere"", okay","Completa il turno gia' iniziato, in napoletano.","quinni ce stévano, saje, 'e","sashimi, ehm, 'e roll accussì",5,5,5,
V065,T2,Llama7B,"C: sì sì
C: 'nfatti pure i' ll'avevo già visto
B: mhmh","Completa il turno gia' iniziato, in napoletano.",e lloro 'nfatti,ce stévano,4,4,4,
V138,T3,Gemma4B,"D: bbuono, grazie assaje a vuje
C: grazie
A: ce sta pure c' 'e balle fà quaccosa
A: ca dopo c' 'o vestito suojo se carreca
A: eh
C: n'ata birra","Turno di A. Rispondi in napoletano, breve e pertinente.",,"ma 'o vestito suojo se carreca, eh, 'a birra 'a fa 'a differenza",3,3,2,Risposta poco pertinente o con ripetizioni/forme poco naturali.
V093,T2,Minerva7B,"A: e vabbuò
B: mo vaco 'n giro c' 'a buttiglia 'e vino accussì
A: che terribbele ca si'","Completa il turno gia' iniziato, in napoletano.","baby, ce stanno",'n sacco 'e,2,2,2,"Turno troncato, vuoto o fortemente incoerente."
V130,T2,Gemma4B,"B: 'mballatissima
A: ma 'nfatti 'a vide, pecché nun fa nu cazzo int' 'a vita, pe' nun spennere sordi e fà 'a guagliona alternativa nu poco fricchettona
C: ma è cchiù piccerella","Completa il turno gia' iniziato, in napoletano.",nun saccio si è,bbuono pe' ll'alber,2,1,2,"Turno troncato, vuoto o fortemente incoerente."
V098,T2,Llama7B,"B: che strategia, cioè, che po' strategia
C: embè, tu ce ll'hê 'a ripetere tante vote ""ma nun ce stanno parcheggi""
B: eh, 'nfatti no, pecché sennò ce dico ""c' 'o cazzo ca venco llà a""","Completa il turno gia' iniziato, in napoletano.","sì, cioè si hê 'a stà sulo 'n machina a girà 'mpanicata",", 'mpanichella, 'mpane",1,1,1,"Turno troncato, vuoto o fortemente incoerente."
V020,T3,Riferimento umano,"C: dirà ""basta, so' arraggiato""
A: no
C: ghostiammo
D: vulite quacc'ata cosa",Sei A. Rispondi in napoletano a quello che ha appena detto D.,,"no no, grazie",5,5,5,
V034,T3,Riferimento umano,"A: è overo
C: Sì, è overo, mh
C: è ca nun tenimmo tante ffoto 'e ale nove
C: e chille stickers nun saccio si veneno
A: ll'ha fatte essa cu 'e ffoto soje
A: 'o sape, 'e manna essa","Riprendi il discorso di A: parla C, in napoletano.",,"eh, però nun saccio si veneno gruosse, cioè",5,5,5,
V032,T3,Riferimento umano,"A: essa no
A: però
C: sempe 'a nnuje o n'ato
B: no, ccà è 'a primma vota, sì sì
A: no pecché essa steva fore
C: ah okay, okay","Adesso parla B. Che dice, in napoletano? (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente)",,sì sì sì,5,5,4,
V046,T3,Gemma4B,"A: sì, avimmo ditto ""ma no""
B: ah, ok ok
C: penzava ca fóssero ffoto
A: sì
C: po' ll'avarrà viste e avarrà ditto ""ok""
A: Sì sì sì, no","Adesso parla B. Che dice, in napoletano? (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente)",,"no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no,",1,1,1,"Turno troncato, vuoto o fortemente incoerente."
V030,T2,Gemma4B,"A: e vabbuò
B: mo vaco 'n giro c' 'a buttiglia 'e vino accussì
A: che terribbele ca si'","Completa il turno gia' iniziato, in napoletano.","baby, ce stanno",nu sacco 'e,2,3,2,"Turno troncato, vuoto o fortemente incoerente."
V076,T2,Llama7B,"C: e lloro che faccia hanno fatto?
B: pecché era chillo ca ce steva pure quanno stévamo cu marco e tommaso, era 'o stesso cammariere
C: sì sì","Completa il turno gia' iniziato, in napoletano.",'nfatti pure i',m'aggi'a fà,4,4,2,Forma dialettale comprensibile ma con resa poco naturale o lessico poco adatto al contesto.
V016,T2,Gemma4B,"C: prego
B: ma chisto è n'atu tappo
A: eh, t' 'o aggio ditto, ne hanno pigliato uno uguale, ma","Completa il turno gia' iniziato, in napoletano.",ma chisto è tipo,na versione diversa,4,5,4,
V082,T2,Llama7B,"B: e niente, m'ha ditto 'o nomme accussì e po' fa ""ma i' t'aggio già vista""
B: e i' aggio ditto ""boh, nun 'o saccio""
A: mhmh","Completa il turno gia' iniziato, in napoletano.",pecché ha ditto ca secondo isso,è chillu juorne,4,4,4,
V124,T2,Riferimento umano,"C: ca po', scusa, isso quanno simmo juti ll'ata vota mancu isso teneva 'a tessera
A: no
B: e comme ha fatto a trasì","Completa il turno gia' iniziato, in napoletano.","no, nun, 'nfatti ll'ata",vota nun simmo trasute,3,3,3,"Turno troncato, vuoto o fortemente incoerente."
V075,T2,Riferimento umano,"B: certo
B: sputà int' 'o cibbo, ovvio
A: ma overamente","Completa il turno gia' iniziato, in napoletano.",cucciulià 'e pusate primma,'e 'e mettere dinto,3,2,3,Forma dialettale comprensibile ma con resa poco naturale o lessico poco adatto al contesto.
V083,T3,Minerva7B,"C: è ca nun tenimmo tante ffoto 'e ale nove
C: e chille stickers nun saccio si veneno
A: ll'ha fatte essa cu 'e ffoto soje
A: 'o sape, 'e manna essa
C: eh, però nun saccio si veneno gruosse, cioè
C: nun 'e putimmo stampà","Riprendi il discorso di C: parla B, in napoletano.",,"no, 'e gruosse no, però eventualmente",4,4,4,
V118,T2,Minerva7B,"A: a ll'universi~
C: na vota ca avev'a jì a lezione
C: ll'aggio ditto ""vabbuò, vedimmoce primma ca vaco a lezione""","Completa il turno gia' iniziato, in napoletano.",e avimmo bevuto,'n bicchiere,4,4,4,
V137,T2,Gemma4B,"C: 'nfatti pure i' ll'avevo già visto
B: mhmh
B: e lloro 'nfatti stévano tipo","Completa il turno gia' iniziato, in napoletano.","e niente, m'ha ditto 'o nomme accussì e","'o ditto ""sì, è nu nomme cchiù",2,1,2,"Turno troncato, vuoto o fortemente incoerente."
V090,T2,Gemma4B,"C: no, nun, 'nfatti ll'ata vota nun simmo trasute
A: nun simmo trasute
C: però cioè nun penzo ca s' 'a sia fatta sulo pe' sta serata, cioè","Completa il turno gia' iniziato, in napoletano.","ca po' isso fa 'e cose,",cioè 'e cchiù,2,2,2,Forma dialettale comprensibile ma con resa poco naturale o lessico poco adatto al contesto.
V150,T3,Gemma4B,"C: è ca nun tenimmo tante ffoto 'e ale nove
C: e chille stickers nun saccio si veneno
A: ll'ha fatte essa cu 'e ffoto soje
A: 'o sape, 'e manna essa
C: eh, però nun saccio si veneno gruosse, cioè
C: nun 'e putimmo stampà","Riprendi il discorso di C: parla B, in napoletano.",,"'e putimmo stampà, sì, però 'e stickers nun sanno, cioè 'e putimmo stampà, sì, però 'e",2,2,2,Forma dialettale comprensibile ma con resa poco naturale o lessico poco adatto al contesto.
V062,T3,Llama7B,"C: no no, grazie, stammo a posto
A: no, a posto accussì
D: stammo a posto accussì
A: grazie assaje
D: bbuono, grazie assaje a vuje
C: grazie",Continua la conversazione: scrivi il turno di A in napoletano.,,"no, a posto accussì, ma 'nvece, grazie assaje",4,4,4,
V111,T3,Minerva7B,"B: pecché comme se dice
A: no no, ce stongo, ce stongo
B: nun 'e nzuppe int' 'a sarzella
B: però 'e magne
A: e comme no
B: credo",Sei A. Rispondi in napoletano a quello che ha appena detto B.,,e 'e salze,3,4,3,Risposta poco pertinente o con ripetizioni/forme poco naturali.
V072,T2,Gemma4B,"A: nun simmo trasute
C: però cioè nun penzo ca s' 'a sia fatta sulo pe' sta serata, cioè
C: ca po' isso fa 'e cose, ah, tutte v~ sto arradunanno gente","Completa il turno gia' iniziato, in napoletano.",in realtà ll'ha ditto,"""s' 'a si",2,1,2,"Turno troncato, vuoto o fortemente incoerente."
V088,T3,Riferimento umano,"A: Sì sì sì, no
B: ma comunque cioè ce sta pure 'o penzà a nu jucariello p' 'a ale
C: sì
B: cioè magari pure si tipo okay ce steva 'o bookay fotografico cu 'e stickers
B: ma magari
B: ce mettere quaccosa int' 'o gioco","Tocca a C. Rispondi in napoletano, restando sul tema.",,"eh, comunque nu gioco ca 'a fa vevere",4,4,5,
V089,T3,Gemma4B,"A: 'e balle suoje
A: cioè sorteggià nu ballo
A: che ne saccio, essa ll'adda fà però quanno è già bresca
C: sì sì, 'o fà fà pure a tutte ll'invitate
A: sì, 'nzegn~ 'nzegnà, nun saccio
A: 'e passe 'e","Come risponderebbe D, in napoletano?",,'e passe 'e,2,2,1,"Turno troncato, vuoto o fortemente incoerente."
V092,T2,Minerva7B,"B: 'mballatissima
A: ma 'nfatti 'a vide, pecché nun fa nu cazzo int' 'a vita, pe' nun spennere sordi e fà 'a guagliona alternativa nu poco fricchettona
C: ma è cchiù piccerella","Completa il turno gia' iniziato, in napoletano.",nun saccio si è,'a primma vota,2,3,2,"Turno troncato, vuoto o fortemente incoerente."
V029,T3,Llama7B,"C: ha ditto ""sì sì, si vulite ve 'e faccio 'n hd""
C: però ll'aggi'a sistemà tutte
C: quinni ce vularrà nu poco
B: e vuje ce avite ditto ""ma scusate, avite visto 'e ffoto""
A: sì, avimmo ditto ""ma no""
B: ah, ok ok","Adesso parla C. Che dice, in napoletano? (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente)",,"sì, sì, si vulite ve 'e faccio 'n hd, ma ll'aggi'a sistemà tutte, quin",4,4,3,
V135,T3,Minerva7B,"A: grazie
D: nu ducetiello
C: no no, grazie, stammo a posto
A: no, a posto accussì
D: stammo a posto accussì
A: grazie assaje",Continua la conversazione: scrivi il turno di D in napoletano.,,"grazie, grazie",4,5,4,
V052,T2,Llama7B,"C: 'nfatti pure i' ll'avevo già visto
B: mhmh
B: e lloro 'nfatti stévano tipo","Completa il turno gia' iniziato, in napoletano.","e niente, m'ha ditto 'o nomme accussì e",po' è rimasta 'n vacanza,2,2,2,"Turno troncato, vuoto o fortemente incoerente."
V123,T3,Minerva7B,"A: no, i' no
B: okay, i' te piglio n'ata birra
B: però nun saparrìa quale piglià
D: si jate 'e xxx
D: vuó quaccosa sempe 'ncopp' 'o acido
D: o","Come risponderebbe B, in napoletano?",,"no, nun truove, nun truove, nun truove, eh",3,4,2,
V113,T3,Minerva7B,"B: simmo juti c' 'a chiavetta 'n copisteria
A: sì
A: e e iss~ e chillo llà ha visto tutte 'e toje",Sei C. Rispondi in napoletano a quello che ha appena detto A.,,"ah, te fa ""mah, ma tanto nun ll'avimmo c~ c~ cchiammà pe' sfenecere""",4,3,3,Forma dialettale comprensibile ma con resa poco naturale o lessico poco adatto al contesto.
V025,T3,Gemma4B,"A: basta selez~
A: sì sì, basta selezionà 'e ffoto
A: ca tiene ll'album",Continua la conversazione: scrivi il turno di C in napoletano.,,"ma 'o album è 'e ffoto, cioè 'e foto, cioè 'e foto, cioè 'e foto, cioè 'e foto, cioè '",1,1,1,"Turno troncato, vuoto o fortemente incoerente."
V078,T2,Riferimento umano,"C: esatto
C: allora aggio accummenciato a cammenà cu 'e vans messe a ciavatta
A: sì","Completa il turno gia' iniziato, in napoletano.",p' 'o centro,pecché tenevo malissimo,4,4,5,
V117,T2,Gemma4B,"B: magari dice ""vabbuò, ne sta parlanno cu ll'ate"" e 'o faje
C: vabbuò, almeno ce si' rimasta impressa
B: no","Completa il turno gia' iniziato, in napoletano.",e lloro che,s' 'o pigliano,3,4,4,
V073,T3,Minerva7B,"A: 'o twister, allora erano quatto, forse
C: chello ca ha fatto cu 'a sara
A: obbligo o verità ce steva
C: secondo me obbligo o verità steva int' 'e casellelle
C: 'a comme me ricordo
B: pecché i' me so' perza tutto",Sei C. Rispondi in napoletano a quello che ha appena detto B. (l'ultimo turno e' una domanda: rispondi alla domanda),,'a comme me ricordo,4,4,4,
V022,T2,Minerva7B,"B: magari dice ""vabbuò, ne sta parlanno cu ll'ate"" e 'o faje
C: vabbuò, almeno ce si' rimasta impressa
B: no","Completa il turno gia' iniziato, in napoletano.",e lloro che,"diceno ""ah, nun",2,2,2,"Turno troncato, vuoto o fortemente incoerente."
V023,T3,Riferimento umano,"B: nun ce 'a pigliammo n'ata birra
C: ah, okay, eh
B: secondo me ce cunvene
A: ah, ok
C: sì sì
A: no, i' no","Turno di B. Rispondi in napoletano, breve e pertinente.",,"okay, i' te piglio n'ata birra",5,5,5,
V086,T3,Llama7B,"B: aggio sbrudulato tutte cose, guarda che casino ca aggio fatto
A: ah, aggio capito, ma i' magari m'aggi'a pulizzà
B: grazie cara
A: è na fronna 'e lauro d' 'a curona soja
A: mo sapésse 'e cibbo indiano, no, nun è overo
B: mh","Adesso parla A. Che dice, in napoletano? (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente)",,"ma aggio sbrudulato, ma aggio sbrudulato, eh, 'e cibbo indiano, nun è over",2,2,2,Forma dialettale comprensibile ma con resa poco naturale o lessico poco adatto al contesto.
V061,T3,Llama7B,"A: sì, esatto
C: cu 'e cartellin' 'a aprì
B: sì
C: e po' ce steva 'e cchiù sta rota ca girava cu 'e tre giuoche, esatto
A: ca era na cosa, sì
C: ca po' llà 'e giuoche erano","Adesso parla A. Che dice, in napoletano?",,"ca llà 'e giuoche eranno, sì",2,2,3,Forma dialettale comprensibile ma con resa poco naturale o lessico poco adatto al contesto.
V079,T2,Riferimento umano,"B: e tu addò s~ addò ce si' juta tu
A: a ll'universi~
C: na vota ca avev'a jì a lezione","Completa il turno gia' iniziato, in napoletano.","ll'aggio ditto ""vabbuò, vedimmoce primma","ca vaco a lezione""",5,5,5,
V115,T3,Riferimento umano,"B: tutto a posto, grazie, sì sì
A: tutto bbuono, grazie, sì sì, tutto bbuonissimo
B: ll'unica cosa, 'o vino nun simmo riuscite a 'o fernì, 'o tenite ancora 'o tappo
C: sì sì","Riprendi il discorso di C: parla B, in napoletano. (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente)",,accussì a 'o massimo 'a purtammo â casa,5,5,5,
V009,T3,Gemma4B,"B: aggio sbrudulato tutte cose, guarda che casino ca aggio fatto
A: ah, aggio capito, ma i' magari m'aggi'a pulizzà
B: grazie cara
A: è na fronna 'e lauro d' 'a curona soja
A: mo sapésse 'e cibbo indiano, no, nun è overo
B: mh","Adesso parla A. Che dice, in napoletano? (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente)",,"ma aggio fatto 'e cose 'e 'a curona, cioè 'e cibbo indiano, cioè 'e cose 'e 'a curona",2,2,2,Risposta poco pertinente o con ripetizioni/forme poco naturali.
V103,T2,Riferimento umano,"A: sì
A: accussì
A: pàteme, 'e tutt' 'e ccose, po' 'a primma cosa ca nota so' st~, sti ccose verde, e fa","Completa il turno gia' iniziato, in napoletano.","""mah, chi sape che d'è"",",ll'addora nu poco accussì,5,5,5,
V109,T3,Minerva7B,"A: sì, esatto
C: cu 'e cartellin' 'a aprì
B: sì
C: e po' ce steva 'e cchiù sta rota ca girava cu 'e tre giuoche, esatto
A: ca era na cosa, sì
C: ca po' llà 'e giuoche erano","Adesso parla A. Che dice, in napoletano?",,llà 'e giuoche,2,4,2,Risposta poco pertinente o con ripetizioni/forme poco naturali.
V100,T3,Minerva7B,"B: aggio sbrudulato tutte cose, guarda che casino ca aggio fatto
A: ah, aggio capito, ma i' magari m'aggi'a pulizzà
B: grazie cara
A: è na fronna 'e lauro d' 'a curona soja
A: mo sapésse 'e cibbo indiano, no, nun è overo
B: mh","Adesso parla A. Che dice, in napoletano? (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente)",,"no, è indiano",4,4,4,
V140,T3,Llama7B,"B: simmo juti c' 'a chiavetta 'n copisteria
A: sì
A: e e iss~ e chillo llà ha visto tutte 'e toje",Sei C. Rispondi in napoletano a quello che ha appena detto A.,,"sì, sì, llà ha visto tutte 'e toje, e 'o chillo llà ha visto 'e toje",2,2,2,Risposta poco pertinente o con ripetizioni/forme poco naturali.
V050,T3,Llama7B,"A: e e iss~ e chillo llà ha visto tutte 'e toje
C: no no no, era, era 'n bolognina
A: piazza 'e ll'unità
B: ah, era arte copia
C: arte copia
B: oddio, me canosce pure bbuono, vaco sempe llà",Sei A. Rispondi in napoletano a quello che ha appena detto B.,,"no, era, era 'n bolognina, ll'unità, ll'unità, ll'unità",2,3,2,Risposta poco pertinente o con ripetizioni/forme poco naturali.
V066,T3,Gemma4B,"B: a luca
B: addò sta
C: mh
B: giusto pe' sapé addò sta
C: tanto songo già 'e
C: unnice, embè, songo ll'unnice","Come risponderebbe A, in napoletano?",,"'e ll'unnice, sì, 'e ll'unnice",3,3,2,Risposta poco pertinente o con ripetizioni/forme poco naturali.
V141,T3,Gemma4B,"B: pecché comme se dice
A: no no, ce stongo, ce stongo
B: nun 'e nzuppe int' 'a sarzella
B: però 'e magne
A: e comme no
B: credo",Sei A. Rispondi in napoletano a quello che ha appena detto B.,,"'e magne, 'e magne, 'e magne",2,3,2,Risposta poco pertinente o con ripetizioni/forme poco naturali.
V011,T3,Llama7B,"A: sì, no, 'o saccio, però
C: vabbuò, 'ntanto scrivimmo
A: ah, llà puó stoppà in realtà
B: a luca
B: addò sta
C: mh",Scrivi la replica di B in napoletano: dev'essere una risposta a C. (l'ultimo turno e' solo un cenno di ascolto: il tema vero e' nel turno precedente),,"llà puó stoppà in realtà, ma 'o saccio, 'o saccio, 'o saccio",2,3,1,Risposta poco pertinente o con ripetizioni/forme poco naturali.
V105,T2,Minerva7B,"A: ca nun se chiamma
A: te s'arape tutto quanto
A: e vabbuò","Completa il turno gia' iniziato, in napoletano.",mo vaco 'n giro c','o piglio,2,2,2,Forma dialettale comprensibile ma con resa poco naturale o lessico poco adatto al contesto.
V067,T3,Riferimento umano,"A: eh no baby
A: no, aspiett', 'n che senzo nun te può piglià 'o covid
B: eh
A: overamente
B: pecché 'o magne
A: eh vabbuò, ma nun te fernesce comunque","Tocca a B. Rispondi in napoletano, restando sul tema.",,"eh, nun 'o ssaccio",5,5,5,
V085,T3,Minerva7B,"A: basta selez~
A: sì sì, basta selezionà 'e ffoto
A: ca tiene ll'album",Continua la conversazione: scrivi il turno di C in napoletano.,,quinni basta se selezionà 'e ffoto,4,4,4,
